frequence of Passer_ID attribute
    Type Description                     Count                   Percent
          00-0031503                      1641                      0.40%
          00-0031568                       266                      0.07%
          00-0031589                       355                      0.09%
          00-0031800                         2                      0.00%
          00-0031912                         1                      0.00%
          00-0031941                         1                      0.00%
          00-0032156                       899                      0.22%
          00-0032245                        53                      0.01%
          00-0032257                         1                      0.00%
          00-0032268                      1364                      0.33%
          00-0032406                         1                      0.00%
          00-0032431                         5                      0.00%
          00-0032449                         1                      0.00%
          00-0032462                        19                      0.00%
          00-0032475                         2                      0.00%
          00-0032630                         7                      0.00%
          00-0032784                       109                      0.03%
          00-0032792                        26                      0.01%
          00-0032893                        23                      0.01%
          00-0032943                         1                      0.00%
          00-0032950                      1108                      0.27%
          00-0032975                         1                      0.00%
          00-0033040                         1                      0.00%
          00-0033077                      1006                      0.25%
          00-0033098                        12                      0.00%
          00-0033104                       245                      0.06%
          00-0033106                       734                      0.18%
          00-0033108                       146                      0.04%
          00-0033111                         1                      0.00%
          00-0033119                       581                      0.14%
          00-0033400                         1                      0.00%
          00-0033537                       223                      0.05%
          00-0033556                         2                      0.00%
          00-0033662                         3                      0.00%
          00-0033869                       360                      0.09%
          00-0033873                        37                      0.01%
          00-0033899                       514                      0.13%
          00-0033908                         1                      0.00%
          00-0033936                       243                      0.06%
          00-0033958                        50                      0.01%
                None                    237445                     58.24%
