frequence of Interceptor attribute
    Type Description                     Count                   Percent
             D.Ryans                         5                      0.11%
      D.Sanzenbacher                         1                      0.02%
            D.Searcy                         8                      0.18%
           D.Sharper                        10                      0.22%
          D.Sharpton                         1                      0.02%
             D.Shead                         2                      0.04%
            D.Shelby                         2                      0.04%
              D.Slay                        14                      0.31%
             D.Smith                         7                      0.15%
          D.Sorensen                         5                      0.11%
         D.Southward                         1                      0.02%
          D.Stafford                         2                      0.04%
           D.Stewart                         9                      0.20%
        D.Swearinger                        11                      0.24%
          D.Thompson                         1                      0.02%
          D.Townsend                         1                      0.02%
         D.Trevathan                         7                      0.15%
           D.Trufant                        10                      0.22%
             D.Tyson                         1                      0.02%
          D.Van Dyke                         1                      0.02%
             D.Walls                         3                      0.07%
              D.Ware                         2                      0.04%
        D.Washington                         7                      0.15%
            D.Watson                         1                      0.02%
             D.White                         2                      0.04%
           D.Whitner                         9                      0.20%
          D.Williams                         5                      0.11%
            D.Worley                         3                      0.07%
            Da.Smith                         2                      0.04%
             E.Apple                         1                      0.02%
             E.Berry                        16                      0.35%
           E.Biggers                         4                      0.09%
             E.Brown                         1                      0.02%
           E.Coleman                         2                      0.04%
            E.Gaines                         3                      0.07%
           E.Griffen                         1                      0.02%
         E.Henderson                         5                      0.11%
             E.Hobbs                         1                      0.02%
           E.Jackson                         2                      0.04%
           E.Johnson                         1                      0.02%
         E.Kendricks                         2                      0.04%
              E.King                         1                      0.02%
             E.Lamur                         2                      0.04%
          E.Lankster                         2                      0.04%
               E.Lee                         1                      0.02%
              E.Mack                         7                      0.15%
          E.Pleasant                         4                      0.09%
              E.Reed                        22                      0.49%
              E.Reid                        11                      0.24%
          E.Reynolds                         1                      0.02%
              E.Rowe                         2                      0.04%
              E.Sims                         2                      0.04%
             E.Smith                         3                      0.07%
            E.Thomas                        28                      0.62%
            E.Walden                         2                      0.04%
            E.Weddle                        32                      0.71%
            E.Wilson                         2                      0.04%
             E.Wolff                         1                      0.02%
            E.Wright                        12                      0.27%
               F.Cox                         1                      0.02%
            F.Rucker                         1                      0.02%
            F.Walker                         3                      0.07%
             F.Zombo                         1                      0.02%
         G.Alexander                         3                      0.07%
          G.Brackett                         2                      0.04%
             G.Ducre                         1                      0.02%
            G.Guyton                         3                      0.07%
             G.Hardy                         1                      0.02%
             G.Hayes                         6                      0.13%
            G.Hodges                         3                      0.07%
             G.Iloka                        10                      0.22%
            G.McRath                         1                      0.02%
              G.Quin                        26                      0.58%
        G.Sensabaugh                         8                      0.18%
             G.Toler                         9                      0.20%
            G.Wilson                        15                      0.33%
          H.Abdullah                         6                      0.13%
       H.Clinton-Dix                        12                      0.27%
            H.Eugene                         1                      0.02%
       H.Hillenmeyer                         1                      0.02%
     H.Jones-Quartey                         2                      0.04%
            H.Miller                         1                      0.02%
          H.Nakamura                         2                      0.04%
             H.Ngata                         2                      0.04%
           H.Pullard                         1                      0.02%
             H.Smith                        19                      0.42%
      I.Abdul-Quddus                         4                      0.09%
            I.Taylor                         7                      0.15%
           J.Abraham                         1                      0.02%
             J.Addae                         2                      0.04%
             J.Allen                        18                      0.40%
          J.Anderson                         5                      0.11%
            J.Arenas                         4                      0.09%
         J.Babineaux                         8                      0.18%
          J.Bademosi                         1                      0.02%
             J.Banks                         7                      0.15%
           J.Barrett                         1                      0.02%
            J.Beason                         6                      0.13%
            J.Bethel                         4                      0.09%
            J.Bostic                         1                      0.02%
         J.Bradberry                         4                      0.09%
            J.Burris                         2                      0.04%
              J.Bush                         7                      0.15%
            J.Busing                         1                      0.02%
            J.Butler                         5                      0.11%
             J.Bynes                         2                      0.04%
              J.Byrd                        27                      0.60%
          J.Casillas                         1                      0.02%
           J.Cesaire                         1                      0.02%
            J.Chaney                         3                      0.07%
           J.Coleman                         2                      0.04%
           J.Collins                         8                      0.18%
           J.Cyprien                         2                      0.04%
             J.Davis                         1                      0.02%
            J.Dunbar                         2                      0.04%
            J.Durant                         3                      0.07%
           J.Elliott                         1                      0.02%
             J.Evans                         3                      0.07%
            J.Fanene                         1                      0.02%
           J.Farrior                         2                      0.04%
           J.Freeman                         5                      0.11%
           J.Galette                         1                      0.02%
           J.Gilbert                         1                      0.02%
             J.Glenn                         1                      0.02%
              J.Goff                         1                      0.02%
             J.Gordy                         5                      0.11%
             J.Green                         1                      0.02%
             J.Greer                        10                      0.22%
             J.Gumbs                         1                      0.02%
             J.Haden                        21                      0.46%
            J.Hanson                         5                      0.11%
          J.Harrison                         4                      0.09%
           J.Hatcher                         1                      0.02%
             J.Heath                         7                      0.15%
             J.Hicks                         7                      0.15%
              J.Hill                         1                      0.02%
            J.Hosley                         2                      0.04%
           J.Houston                         3                      0.07%
            J.Hunter                         1                      0.02%
          J.Ihedigbo                         9                      0.20%
           J.Jarrett                         2                      0.04%
          J.Jeffcoat                         1                      0.02%
           J.Jenkins                        19                      0.42%
           J.Johnson                         3                      0.07%
             J.Jolly                         1                      0.02%
