frequence of Unit attribute
    Type Description                     Count                   Percent
                 513                         3                      0.01%
                 514                         2                      0.01%
                 515                         6                      0.02%
                 516                         3                      0.01%
                 517                         2                      0.01%
                 518                         3                      0.01%
                 519                         2                      0.01%
                 520                         1                      0.00%
                5204                         1                      0.00%
                5206                         1                      0.00%
                 521                         1                      0.00%
                5212                         1                      0.00%
                5213                         1                      0.00%
                 522                         2                      0.01%
                 523                         1                      0.00%
                 527                         2                      0.01%
                  53                         5                      0.02%
                5306                         1                      0.00%
                 531                         1                      0.00%
                5312                         1                      0.00%
                5313                         1                      0.00%
                 533                         1                      0.00%
                 534                        34                      0.12%
                 535                         3                      0.01%
                 537                         2                      0.01%
                  54                         3                      0.01%
                5412                         1                      0.00%
                5413                         1                      0.00%
                 544                         1                      0.00%
                 548                         2                      0.01%
                  55                         1                      0.00%
                 552                         4                      0.01%
                 553                         1                      0.00%
                 555                         6                      0.02%
                 556                         1                      0.00%
                 557                         3                      0.01%
                 558                         2                      0.01%
                 559                         1                      0.00%
                  56                         3                      0.01%
                5602                         1                      0.00%
                5604                         1                      0.00%
                  57                         2                      0.01%
                 570                        10                      0.03%
                  59                         3                      0.01%
                5903                         1                      0.00%
                   6                       214                      0.73%
                  60                         2                      0.01%
                 600                         7                      0.02%
                6003                         3                      0.01%
                6004                         1                      0.00%
                 601                        32                      0.11%
                 602                        15                      0.05%
                 603                        10                      0.03%
                 604                         7                      0.02%
                 605                         2                      0.01%
                 606                        13                      0.04%
                 607                         6                      0.02%
                 608                         8                      0.03%
                 609                         4                      0.01%
                  61                         4                      0.01%
                 610                         4                      0.01%
                 611                         2                      0.01%
                 612                         5                      0.02%
                 613                         2                      0.01%
                 614                         3                      0.01%
                 615                         3                      0.01%
                 616                         4                      0.01%
                 617                         2                      0.01%
                 618                         3                      0.01%
                 619                         1                      0.00%
                  62                         1                      0.00%
                 621                         2                      0.01%
                 622                         2                      0.01%
                 623                         2                      0.01%
                 625                         6                      0.02%
                 626                         1                      0.00%
                 629                         2                      0.01%
                 630                         2                      0.01%
                 631                         1                      0.00%
                 634                         1                      0.00%
                 636                         1                      0.00%
                 640                         2                      0.01%
                 647                         1                      0.00%
                 649                         1                      0.00%
                 650                         3                      0.01%
                 651                         5                      0.02%
                 652                         2                      0.01%
                 656                         1                      0.00%
                 657                         2                      0.01%
                  67                         1                      0.00%
                  68                         1                      0.00%
                  69                         1                      0.00%
                   7                       103                      0.35%
                  70                         3                      0.01%
                 700                         2                      0.01%
                 701                        19                      0.06%
                 702                        14                      0.05%
                 703                        19                      0.06%
                 704                         8                      0.03%
                 705                         6                      0.02%
                 706                         9                      0.03%
                 707                         9                      0.03%
                 708                         4                      0.01%
                 709                         4                      0.01%
                 710                         6                      0.02%
                 711                         2                      0.01%
                 712                         1                      0.00%
                 713                         4                      0.01%
                 714                         2                      0.01%
                 715                         1                      0.00%
                 716                         3                      0.01%
                 717                         1                      0.00%
                  72                         3                      0.01%
                 720                         1                      0.00%
                 721                         4                      0.01%
                 723                         2                      0.01%
                 724                         1                      0.00%
